,chosung,target
0,"	 ㅌㄹㄱㄹ 
","	 로봇 연구원은 최적의 지점 식별에서 나무 묘목 심기 물주기에 이르기까지 나무 심기 프로세스를 자동화하는 딥 러닝 기술을 갖춘 로봇을 설계했다 
"
120,"	 ㅇㄱㄹㅇㄷ ㅎㅅ ㅇㅁ ㄱㄱ ㄷㅊ ㅁ ㅎㅇㄱㅊㄱ ㅇㄴ ㄱㄷ 
","	 업그레이드 해서 오면 그게 대체 뭔 효용가치가 있는 건데 
"
121,"	 ㄷㄹㄴㅉㅇㄹ ㄱㅂㅊㅇㅎㅅㄱ ㅅㅇㅅ ㅂㄷ ㄷㅇㅈㅅㅁ ㅇㅈㄹㄷ ㅅㄷㅎㄷㄹㄱㅇ ㅊㄱㄹ ㅈㄴ ㅎㅅㅊㅅㅇㄴㄷ 
","	 딥러닝쪽으로 공부취업하시고 싶으신 분들 디엠주시면 언제라도 상담해드릴게요 참고로 저는 학사출신입니다 
"
122,"	 ㅅㄴ ㄱㅈ ㅌㅅㅌㄹ ㅇㄹㅎ ㄱㄴ ㄱㅇㅇ 
","	 성능 검증 테스트를 완료한 국내 기업은 
"
123,"	 ㄷㄹㄴ ㅁㅅㄹㄴ ㅎㄴ 
","	 딥러닝 머신러닝 하는 
"
124,"	 ㄸㄱㅇㄱ ㄷㅅ ㄷㄹㅁ ㅇㅅ ㄹㄷㅎㅅ ㅇㅇㅅ ㅎㅅㅎㄱ ㄸㅁㅇ ㄱㅂ ㅈㄱ ㅅㄷㅁ ㅂㄹ ㅇㄹㅇ ㄷㄹㄱ ㅈㅇ 
","	 똑같은걸 다시 돌리면 에서 로드해서 이어서 학습하기 때문에 구분 짓고 싶다면 별로 이름을 다르게 줘야 
"
125,"	 ㄷㄹㄴㅊ ㅁㄱ ㄱㅇㅅㅈ ㅇㄱㅅㅇ 
","	 딥러닝책 말고 교양서적 읽고싶음 
"
126,"	 ㄷㅇㅌㅅ ㅅㅇ 
","	 데이터셋 술이 
"
127,"	 ㅅㅅㅈㅈㅇ ㅅㅌㅌㅇㅇ ㅁㅂㄹㅌ ㅍㄹㅇㅅㄷ ㄱㅇㄷ 
","	 삼성전자와 스타트업인 모빌린트 퓨리오사단 곳이다 
"
128,"	 ㅇㅈㄴㅈㅇ ㅈㅅㅇㅇㅇ 
","	 이제늦잠응 장수잇아요 
"
129,"	 ㅅㄱㅂㄷ. 
","	 생각보다. 
"
130,"	 ㅋㄷㅈㄴ ㅅㄹㄱㅈㅇㄱ ㅇㄷㅇ ㅋㅇㅍ ㄷㄹㄴ ㅍㄹㅈㅌ ㅅㅍㅈ ㄱㅇ 
","	 퀸동주는 사람같지않고 어둠의 케이팝 딥러닝 프로젝트 실패작 같음 
"
131,"	 ㅇㅅ ㅁㅈ 
","	 유사 문자 
"
132,"	 ㅅㅈㅇ ㅌㅅㅂㅌ ㄱ 
","	 성질의 특성부터 가 
"
133,"	 ㅂㅇㄷㅇ ㄷ ㄹㄴ ㅍㄹㅍ ㅍㄷㅍㄷㅇ ㅅㅇㅎㅇ ㅇㅁ ㅅㅈㅇ ㄴㅇ . 
","	 바이두의 딥 러닝 플랫폼 패들패들을 사용하여 이미 시장에 나와 . 
"
134,"	 ㅅㄹㄷㄱ ㅇㅃㄴㅇ ㅎㅎ... 
","	 세련되고 이쁘네요 ㅎㅎ... 
"
135,"	 ㅁㅂㄹㅌㄴ ㅅㄱ ㅊㅊㄹ ㅇㅁㅈㅇ ㅁㅈ ㅊㄹㄹ ㅌㅎ ㄷㄹㄴㅇ ㅊㅈㅎㄷ ㅇㅈㅇㄹ ㄱㅂㅎㄷ. 
","	 모빌린트는 세계 최초로 이미지와 문자 처리를 통해 딥러닝에 최적화된 엣지용를 개발했다. 
"
136,"	 ㄱㅇ 
","	 과연 
"
137,"	  ㄷㄹㄴ 
","	  딥러닝 
"
138,"	 ㅇㅊㅇ ㄷㄹㄴㅇ ㅎㄹㅁ ㄹㄴ ㄷㅅㅇ ㅁㅇㄱㄱ...ㅇㅇㅇㅎㄴㄱ ㅇㄴ.. 
","	 애초에 딥러닝을 하려면 러닝 대상의 무언가가...있어야하는거 아님.. 
"
139,"	 . 
","	 . 
"
140,"	 ㅇㅂㅇ ㄱㅇㅎ ㅋㄹㅅㄹ ㄷㄹ ㄷㄹㄴㅊㅇ ㅎㅁㄹㄱ ㅂㄴ ㅈ. 
","	 이번에 구입한 케라스를 다룬 딥러닝책은 흥미롭게 보는 중. 
"
141,"	 ㅁㅂㄹㅌㄴ ㅅㄱ ㅊㅊㄹ ㅇㅁㅈㅇ ㅁㅈ ㅊㄹㄹ ㅌㅎ ㄷㄹㄴㅇ ㅊㅈㅎㄷ ㅇㅈㅇㄹ ㄱㅂㅎㄷ 
","	 모빌린트는 세계 최초로 이미지와 문자 처리를 통해 딥러닝에 최적화된 엣지용를 개발했다 
"
142,"	 ㄷㄹㄴㅇ ㅈㄱㅆ ㅎㅂㄱ ㅇㄴ ㅈㄱㄷ ㅇㅈ ㅇㅉㅎㄴㅈ ㄱㅇ ㅇㅇ. 
","	 딥러닝을 조금씩 해보고 있는 지금도 아직 어찌하는지 감이 안옴. 
"
143,"	 ㄷㄹㄴ ㅇㄱ ㅅㄴㄷ ㅅㅎ ㄱㅇㅁ ㅅㄱㅇㅇ. 
","	 딥러닝 인강 샀는데 수학 강의만 시간이야. 
"
